Timestamp (mm:ss.SSS),ECG Value
10:48.102,1875.500
10:48.097,1933.250
10:48.097,1871.000
10:48.092,1973.750
10:48.092,1868.000
10:48.087,2001.750
10:48.087,1855.250
10:48.082,2012.750
10:48.082,1860.000
10:48.077,2017.000
10:48.077,1849.250
10:48.072,2027.500
10:48.072,1833.750
10:48.067,2006.500
10:48.067,1828.250
10:48.062,1969.500
10:48.062,1841.250
10:48.057,1937.750
10:48.057,1843.250
10:48.052,1897.750
10:48.052,1822.750
10:48.047,1873.000
10:48.047,1813.750
10:48.042,1868.250
10:48.042,1814.750
10:48.037,1883.500
10:48.037,1808.500
10:48.032,1890.750
10:48.032,1818.000
10:48.027,1862.250
10:48.027,1817.250
10:48.022,1838.750
10:48.022,1794.000
10:48.017,1852.000
10:48.017,1728.250
10:48.012,1832.000
10:48.012,1690.000
10:48.007,1835.500
10:48.007,1683.250
10:48.002,1861.250
10:48.002,1687.500
10:47.997,1872.750
10:47.997,1639.500
10:47.992,1876.750
10:47.992,1603.250
10:47.987,1855.750
10:47.987,1777.750
10:47.982,1851.500
10:47.982,2022.750
10:47.977,1843.250
10:47.977,2499.000
10:47.972,1848.500
10:47.972,3105.750
10:47.967,1867.250
10:47.967,3411.750
10:47.962,1880.250
10:47.962,2868.250
10:47.957,1888.750
10:47.957,2192.500
10:47.952,1864.250
10:47.952,1739.250
10:47.947,1834.250
10:47.947,1508.000
10:47.942,1823.750
10:47.942,1493.500
10:47.937,1829.500
10:47.937,1631.750
10:47.932,1831.000
10:47.932,1784.000
10:47.927,1837.250
10:47.927,1829.250
10:47.922,1846.250
10:47.922,1822.750
10:47.917,1848.250
10:47.917,1826.250
10:47.912,1838.500
10:47.912,1822.750
10:47.907,1833.250
10:47.907,1818.750
10:47.902,1821.250
10:47.902,1823.750
10:47.897,1825.750
10:47.897,1825.750
10:47.892,1840.250
10:47.892,1814.500
10:47.887,1859.000
10:47.887,1808.250
10:47.882,1870.750
10:47.882,1824.500
10:47.877,1873.000
10:47.877,1810.250
10:47.872,1841.750
10:47.872,1803.500
10:47.867,1801.250
10:47.867,1804.750
10:47.862,1774.500
10:47.862,1804.250
10:47.857,1805.000
10:47.857,1819.500
10:47.852,1837.500
10:47.852,1849.000
10:47.847,1869.500
10:47.847,1863.250
10:47.842,1899.000
10:47.842,1893.250
10:47.837,1893.500
10:47.837,1902.000
10:47.832,1907.000
10:47.832,1923.750
10:47.827,1927.000
10:47.827,1952.500
10:47.822,1960.500
10:47.822,2012.000
10:47.817,1974.500
10:47.817,2028.250
10:47.812,1979.250
10:47.812,2033.000
10:47.807,1969.000
10:47.807,2008.500
10:47.802,1970.000
10:47.802,1957.000
10:47.797,1986.500
10:47.797,1948.750
10:47.792,1979.750
10:47.792,1925.250
10:47.787,1958.000
10:47.787,1901.250
10:47.782,1934.750
10:47.782,1884.750
10:47.777,1962.250
10:47.777,1853.250
10:47.772,1963.250
10:47.772,1827.500
10:47.767,1975.750
10:47.767,1836.750
10:47.762,1968.500
10:47.762,1846.750
10:47.757,1936.750
10:47.757,1837.000
10:47.752,1924.750
10:47.752,1828.750
10:47.747,1965.750
10:47.747,1830.750
10:47.742,1973.500
10:47.742,1837.500
10:47.737,1969.750
10:47.737,1845.000
10:47.732,1956.750
10:47.732,1842.250
10:47.727,1925.500
10:47.727,1831.000
10:47.722,1915.500
10:47.722,1826.250
10:47.717,1923.250
10:47.717,1830.500
10:47.712,1904.750
10:47.712,1825.250
10:47.707,1895.250
10:47.707,1828.750
10:47.702,1903.750
10:47.702,1830.250
10:47.697,1899.000
10:47.697,1840.500
10:47.692,1907.000
10:47.692,1826.250
10:47.687,1894.500
10:47.687,1824.000
10:47.682,1867.750
10:47.682,1830.750
10:47.677,1841.250
10:47.677,1842.750
10:47.672,1846.500
10:47.672,1837.250
10:47.667,1858.750
10:47.667,1835.000
10:47.662,1864.000
10:47.662,1836.000
10:47.657,1849.500
10:47.657,1828.500
10:47.652,1860.000
10:47.652,1825.500
10:47.647,1868.750
10:47.647,1823.000
10:47.642,1866.250
10:47.642,1829.250
10:47.637,1838.000
10:47.637,1840.000
10:47.632,1831.750
10:47.627,1842.500
10:47.622,1845.750
10:47.617,1829.000
10:47.612,1820.750
10:38.129,2051.000
10:38.124,2050.500
10:38.119,2042.750
10:38.114,2030.250
10:38.109,2035.000
10:38.104,1925.500
10:38.104,2051.500
10:38.099,2008.750
10:38.099,2054.500
10:38.094,2038.250
10:38.094,2047.750
10:38.089,2029.500
10:38.089,2056.500
10:38.084,1999.500
10:38.084,2071.750
10:38.079,1988.500
10:38.079,2062.250
10:38.074,1999.000
10:38.074,2039.750
10:38.069,1997.750
10:38.069,2031.000
10:38.064,1998.500
10:38.064,2030.000
10:38.059,1982.500
10:38.059,2048.250
10:38.054,1967.500
10:38.054,2061.500
10:38.049,1972.500
10:38.049,2068.250
10:38.044,1966.250
10:38.044,2050.000
10:38.039,1928.500
10:38.039,2045.000
10:38.034,1920.000
10:38.034,2050.000
10:38.029,1933.250
10:38.029,2043.250
10:38.024,1940.500
10:38.024,2039.750
10:38.019,1971.750
10:38.019,2051.750
10:38.014,1956.250
10:38.014,2057.250
10:38.009,1862.750
10:38.009,2049.250
10:38.004,1830.750
10:38.004,2050.750
10:37.999,1844.250
10:37.999,2057.250
10:37.994,1867.250
10:37.994,2049.250
10:37.989,1891.500
10:37.989,2057.000
10:37.984,1885.000
10:37.984,2060.250
10:37.979,1886.500
10:37.979,2051.750
10:37.974,1874.500
10:37.974,2028.250
10:37.969,1867.250
10:37.969,2035.000
10:37.964,1837.250
10:37.964,2042.000
10:37.959,1836.250
10:37.959,2041.500
10:37.954,1852.750
10:37.954,2061.500
10:37.949,1845.000
10:37.949,2036.750
10:37.944,1843.500
10:37.944,2027.500
10:37.939,1855.750
10:37.939,2010.500
10:37.934,1845.000
10:37.934,2023.500
10:37.929,1844.250
10:37.929,2044.750
